문제되다,v
묻다01,v
묻다02,v
묻다03,v
묻히다01,v
묻히다02,v
물다02,v
물러나다,v
물어보다,v
미끄러지다,v
미루다,v
미워하다,v
미치다01,v
미치다02,v
믿다,v
믿어지다,v
밀다01,v
밀리다01,v
바꾸다,v
바뀌다,v
바라다01,v
바라보다,v
바로잡다,v
바르다01,v
바치다01,v
박다01,v
박히다,v
반기다,v
반대하다01,v
반복되다,v
반복하다01,v
반성하다01,v
반영하다,v
반짝거리다,v
반짝이다,v
반하다03,v
받다01,v
받아들이다,v
발견되다,v
발견하다01,v
발달되다,v
발달하다,v
발생하다,v
발음하다01,v
발전되다,v
발전하다01,v
발표되다,v
발표하다,v
발휘하다,v
밝다,v
밝아지다,v
밝혀내다,v
밝혀지다,v
밝히다,v
밟다,v
밤새다,v
밤새우다,v
방문하다,v
방송하다01,v
방지하다01,v
방해하다,v
배다01,v
배우다01,v
뱉다,v
버려지다,v
버리다01,v
버티다,v
번역하다,v
벌다02,v
벌리다01,v
벌어지다01,v
벌어지다02,v
벌이다,v
벗기다02,v
벗다,v
베다02,v
변하다,v
변화되다,v
변화하다,v
병들다,v
보고하다02,v
보관하다,v
보내다,v
보내오다,v
보다01,v
보도되다,v
보도하다02,v
보살피다,v
보완하다,v
보이다01,v
보이다02,v
보장되다,v
보장하다01,v
보존하다,v
보충하다,v
보호되다,v
보호하다,v
복사하다03,v
복습하다,v
볶다,v
봉사하다01,v
뵈다01,v
뵈다02,v
뵙다,v
부담하다01,v
부딪치다,v
부딪히다,v
부러워하다,v
부러지다,v
부르다01,v
부서지다,v
부정하다06,v
부치다02,v
부탁하다,v
분리되다,v
분리하다03,v
분명해지다,v
분석하다02,v
분포하다02,v
불구하다02,v
불다01,v
불러일으키다,v
불리다04,v
불리다07,v
불어오다,v
붐비다,v
붓다01,v
붓다02,v
붙다,v
붙들다,v
붙이다,v
붙잡다,v
붙잡히다,v
비교하다,v
비기다01,v
비다01,v
비롯되다,v
비롯하다,v
비비다,v
비우다01,v
비웃다,v
비추다,v
비치다01,v
비키다,v
비판하다,v
비하다,v
빌다01,v
빌리다,v
빛나다,v
빠뜨리다,v
빠져나가다,v
빠져나오다,v
빠지다01,v
빠지다02,v
빨다01,v
빨다02,v
빼놓다,v
빼다01,v
빼앗기다,v
빼앗다,v
뺏다,v
뻗다,v
뽑다,v
뽑히다,v
뿌리다,v
뿌리치다,v
사과하다02,v
사귀다,v
사다,v
사들이다,v
사라지다,v
사랑하다,v
사망하다01,v
사용되다,v
사용하다03,v
살다01,v
살리다,v
살아가다,v
살아나다,v
살아남다,v
살아오다,v
살펴보다,v
살피다01,v
삶다,v
삼가다,v
삼다02,v
삼키다,v
상상하다03,v
상징하다,v
상하다02,v
새기다01,v
새다01,v
새우다01,v
생각나다,v
생각되다,v
생각하다,v
생겨나다,v
생기다,v
생산되다,v
생산하다,v
생활하다,v
서다01,v
서두르다,v
서명하다01,v
섞다,v
섞이다,v
선물하다,v
선언하다,v
선정하다03,v
선택하다,v
선호하다01,v
설득하다,v
설립하다,v
설명되다,v
설명하다,v
설치되다01,v
설치하다01,v
성공하다,v
성립되다,v
성립하다,v
성숙하다,v
성장하다01,v
세다02,v
세우다01,v
세워지다,v
소개되다,v
소개하다01,v
소리치다,v
소문나다,v
소비하다,v
소요되다,v
소유하다01,v
소화하다01,v
속삭이다,v
속이다,v
속하다02,v
손잡다,v
손질하다,v
솟다01,v
수고하다01,v
수리하다02,v
수입되다02,v
수입하다02,v
수집하다02,v
수출하다03,v
수행하다02,v
숙이다,v
숨기다,v
숨다01,v
숨지다,v
쉬다03,v
쉬다04,v
스치다01,v
슬퍼하다,v
승리하다,v
시도하다03,v
시들다,v
시작되다01,v
시작하다01,v
시집가다,v
시키다01,v
식다01,v
식사하다02,v
식히다,v
신고하다01,v
신다,v
신청하다01,v
싣다01,v
실례하다,v
실리다01,v
실망하다02,v
실수하다,v
실시되다,v
실시하다03,v
실천하다01,v
실패하다01,v
실현되다,v
실현하다,v
싫어지다,v
싫어하다,v
심각해지다,v
심다01,v
심해지다,v
싸다01,v
싸우다,v
쌓다,v
쌓이다,v
썩다,v
썰다01,v
쏘다01,v
쏟다,v
쏟아지다,v
쓰다01,v
쓰다02,v
쓰다03,v
쓰다듬다,v
쓰러지다,v
쓰이다01,v
쓰이다03,v
쓸다02,v
씌우다01,v
씹다01,v
씻기다01,v
씻기다02,v
씻다,v
아끼다,v
안기다01,v
안기다02,v
안내하다,v
안다01,v
안되다01,v
안심하다,v
안정되다,v
앉다,v
앉히다,v
않다,v
알다,v
알려지다,v
알리다,v
알아내다,v
알아듣다,v
알아보다,v
알아주다,v
앓다,v
앞두다,v
앞서다,v
앞세우다,v
앞장서다,v
애쓰다,v
약속하다,v
약해지다,v
양보하다,v
얘기하다,v
어기다01,v
어두워지다,v
어려워지다,v
어리다01,v
어울리다,v
어쩌다01,v
어찌하다,v
얹다,v
얻다01,v
얻어먹다,v
얼다01,v
얼리다03,v
업다,v
없애다,v
없어지다,v
엇갈리다,v
엎드리다,v
여겨지다,v
여기다,v
여쭈다,v
여행하다01,v
연결되다,v
연결하다01,v
연구하다02,v
연기되다01,v
연기하다01,v
연락하다02,v
연상하다02,v
연습하다03,v
연출하다,v
열다02,v
열리다01,v
열리다02,v
열중하다,v
염려하다01,v
엿보다,v
예고하다,v
예매하다01,v
예방하다01,v
예상되다,v
예상하다,v
예습하다,v
예약하다,v
예정되다,v
예측하다,v
오가다,v
오다01,v
오래되다,v
오르내리다,v
오르다,v
오염되다,v
올라가다,v
올라서다,v
올라오다,v
올라타다,v
올려놓다,v
올려다보다,v
올리다01,v
옮기다,v
완성되다,v
완성하다01,v
외다02,v
외면하다,v
외우다01,v
외출하다,v
외치다01,v
요구되다,v
요구하다,v
요리하다02,v
요약하다02,v
요청하다,v
욕하다,v
용서하다,v
우승하다,v
운동하다,v
운영하다,v
운전하다,v
울다01,v
울리다01,v
울리다02,v
움직이다,v
웃기다,v
웃다,v
원하다02,v
위로하다,v
위반하다02,v
위치하다,v
위하다01,v
유발하다,v
유의하다02,v
유지되다,v
유지하다02,v
유행하다01,v
응답하다,v
의논하다,v
의미하다02,v
의식하다02,v
의심하다,v
의존하다,v
의지하다,v
의하다01,v
이기다01,v
이끌다,v
이동하다,v
이러다,v
이루다01,v
이루어지다,v
이룩하다,v
이뤄지다,v
이르다01,v
이르다02,v
이사하다01,v
이야기하다,v
이어지다,v
이용되다,v
이용하다01,v
이해되다,v
이해하다02,v
이혼하다,v
익다01,v
익숙해지다,v
익히다01,v
익히다02,v
인사하다,v
인식하다,v
인정되다,v
인정받다,v
인정하다,v
인하다01,v
일어나다,v
일어서다,v
일으키다,v
일치하다,v
일하다,v
읽다,v
읽히다01,v
잃다,v
잃어버리다,v
임신하다,v
입다01,v
입력하다,v
입사하다04,v
입원하다01,v
입학하다,v
입히다,v
잇다01,v
잇따르다,v
있다01,v
잊다01,v
잊어버리다,v
잊혀지다,v
자극하다,v
자다01,v
자라나다,v
자라다01,v
자랑하다01,v
자르다01,v
자살하다01,v
작성하다,v
작아지다,v
작용하다01,v
잘되다,v
잘리다01,v
잘못되다,v
잘못하다,v
잘살다,v
잘하다,v
잠그다01,v
잠기다02,v
잠들다,v
잠자다,v
잡다01,v
잡수다,v
잡수시다,v
잡아당기다,v
잡아먹다,v
잡히다02,v
재다02,v
재우다01,v
저러다,v
저지르다,v
적다01,v
적어지다,v
적용되다,v
적용하다,v
적응하다02,v
적히다,v
전개되다,v
전개하다02,v
전공하다01,v
전달되다,v
전달하다02,v
전망하다02,v
전시되다,v
전시하다01,v
전하다,v
전해지다,v
전화하다02,v
전환하다02,v
절약하다,v
접근하다,v
접다01,v
접하다01,v
젓다01,v
정리되다,v
정리하다,v
정하다03,v
정해지다,v
젖다01,v
제거하다,v
제공하다02,v
제대하다,v
제시되다,v
제시하다01,v
제안하다02,v
제외되다,v
제외하다,v
제의하다,v
제작하다02,v
제출하다02,v
제한되다,v
제한하다,v
조르다02,v
조사하다12,v
조심하다02,v
조절하다02,v
조정하다06,v
조화되다,v
존경하다,v
존재하다,v
존중하다,v
졸다01,v
졸리다01,v
졸업하다,v
좁히다01,v
종합하다,v
좋아지다,v
좋아하다,v
주고받다,v
주다01,v
주무시다,v
주문하다01,v
주어지다,v
주의하다01,v
주장하다01,v
주저앉다,v
주차하다01,v
죽다01,v
죽이다01,v
준비되다,v
준비하다,v
줄다,v
줄어들다,v
줄이다,v
줍다01,v
중단되다,v
중단하다,v
중얼거리다,v
중요시하다,v
쥐다01,v
즐거워하다,v
즐기다01,v
증가하다01,v
증명하다,v
지급하다01,v
지나가다,v
지나다,v
지나치다,v
지내다01,v
지니다,v
지다02,v
지다03,v
지다04,v
지다05,v
지도하다,v
지르다03,v
지배하다01,v
지불하다01,v
지속되다,v
지시하다,v
지우다01,v
지우다05,v
지워지다,v
지원하다01,v
지적되다,v
지적하다,v
지치다01,v
지켜보다,v
지키다01,v
진단하다,v
진출하다02,v
진행되다,v
진행하다,v
질문하다,v
짐작하다,v
집다01,v
집어넣다,v
집중되다,v
집중하다02,v
짓다01,v
짚다01,v
짜다01,v
짜다02,v
짧아지다,v
쩔쩔매다,v
쫓겨나다,v
쫓기다,v
쫓다,v
찌다01,v
찌다05,v
찌르다,v
찍다02,v
찍히다02,v
찢다,v
찢어지다,v
차다01,v
차다02,v
차다03,v
차리다,v
착각하다,v
찬성하다,v
참가하다01,v
참고하다,v
참다,v
참석하다,v
참여하다,v
창조하다,v
찾다,v
찾아가다,v
찾아내다,v
찾아다니다,v
찾아보다,v
찾아오다,v
채우다03,v
책임지다,v
챙기다,v
청소하다03,v
청하다,v
체험하다,v
쳐다보다,v
초대하다02,v
초청하다,v
추가되다,v
추가하다,v
추다02,v
추진하다02,v
추천하다02,v
축하하다,v
출근하다,v
출발하다,v
출석하다,v
출연하다02,v
출현하다,v
춤추다,v
충돌하다,v
취소하다01,v
취하다01,v
취하다03,v
치다01,v
치다02,v
치다05,v
치다10,v
치료하다,v
치르다,v
치우다01,v
친해지다,v
칠하다,v
칭찬하다,v
커지다,v
켜다01,v
켜지다,v
크다01,v
키우다,v
타고나다,v
타다01,v
타다02,v
타다03,v
타다04,v
타오르다,v
탄생하다,v
탈출하다02,v
태어나다,v
태우다01,v
태우다02,v
택하다,v
터뜨리다,v
터지다,v
털다,v
토론하다,v
토하다,v
통과하다,v
통일하다,v
통하다,v
퇴근하다,v
퇴원하다,v
튀기다01,v
튀다,v
튀어나오다,v
트이다,v
틀다,v
틀리다01,v
파괴하다,v
파다01,v
파악하다,v
판단하다,v
판매되다,v
판매하다,v
팔다,v
팔리다,v
퍼지다,v
펴내다,v
펴다,v
펼쳐지다,v
평가되다,v
평가하다,v
포기하다01,v
포함되다01,v
포함하다02,v
표시하다01,v
표시하다02,v
표현되다,v
표현하다,v
푸다01,v
풀다,v
풀리다,v
풀어지다,v
품다01,v
피다01,v
피우다01,v
피하다,v
하다01,v
한잔하다,v
한정되다,v
한정하다01,v
한하다02,v
함께하다,v
합격하다,v
합치다,v
합하다,v
해결되다,v
해결하다,v
해내다,v
해당되다,v
해당하다04,v
해석하다02,v
해소하다01,v
행동하다,v
행하다,v
행해지다,v
향상되다,v
향하다,v
허락하다,v
허용되다,v
허용하다,v
헤매다,v
헤아리다,v
헤어지다,v
형성되다,v
형성하다,v
혼나다,v
화나다,v
확대되다02,v
확대하다02,v
확립하다,v
확산되다,v
확신하다,v
확인되다,v
확인하다,v
환영하다,v
활동하다01,v
활발해지다,v
활용하다,v
회복되다,v
회복하다,v
효도하다,v
후회하다,v
훔치다02,v
흐려지다,v
흐르다01,v
흐리다01,v
흔들다,v
흔들리다,v
흘러가다,v
흘러나오다,v
흘러내리다,v
흘리다,v
흥분하다,v
흩어지다,v
희망하다,v
희생하다,v
힘들어하다,v
힘쓰다,v
가게,n
가격03,n
가구03,n
가구04,n
가까이,n
가난01,n
가능,n
가능성,n
가로01,n
가로등,n
가로수,n
가루01,n
가르침,n
가뭄,n
가방01,n
가사09,n
가상05,n
가수11,n
가스,n
가슴01,n
가슴속,n
가요02,n
가운데,n
가위01,n
가을01,n
가이드,n
가입,n
가입자,n
가장07,n
가정06,n
가정07,n
가정교사,n
가족01,n
가죽01,n
가지01,n
가짜,n
가치06,n
가치관,n
가톨릭,n
각각01,n
각국,n
각오01,n
각자02,n
각종,n
간01,n
간08,n
간격02,n
간부05,n
간섭,n
간식02,n
간장01,n
간접,n
간접적,n
간판02,n
간호,n
간호사,n
갈등,n
갈비01,n
갈비탕,n
갈색,n
갈증,n
감01,n
감12,n
감각02,n
감기04,n
감독02,n
감동02,n
감동적,n
감사08,n
감상05,n
감소01,n
감수성02,n
감옥02,n
감자01,n
감정06,n
감정적01,n
갑05,n
값,n
강01,n
강남,n
강당,n
강도05,n
강도06,n
강물,n
강변01,n
강북,n
강사04,n
강수량,n
강아지,n
강의02,n
강제01,n
강조02,n
갖가지,n
개03,n
개개인,n
개구리,n
개나리01,n
개미03,n
개방04,n
개별,n
개선01,n
개성03,n
개인02,n
개인적,n
객관적,n
거리01,n
거리08,n
거실02,n
거액,n
거울01,n
거짓,n
거짓말,n
거품,n
걱정,n
건강03,n
건너01,n
건너편,n
건넌방,n
건물03,n
건설,n
건조04,n
건축01,n
걷기,n
걸음,n
검사02,n
검사03,n
검은색,n
검정색,n
검토,n
겁05,n
겉01,n
게01,n
게시판,n
게임,n
겨울,n
겨울철,n
겨자01,n
견해02,n
결과02,n
결과적,n
결국,n
결론02,n
결석01,n
결승01,n
결심01,n
결정01,n
결혼,n
결혼식,n
경계04,n
경고04,n
경기05,n
경기11,n
경기장,n
경력02,n
경비02,n
경영02,n
경우03,n
경쟁,n
경쟁력,n
경제04,n
경제력,n
경제적,n
경제학,n
경찰04,n
경찰관,n
경찰서,n
경치02,n
경향02,n
경험,n
곁01,n
계곡01,n
계단04,n
계란,n
계산01,n
계산기,n
계약,n
계절01,n
계좌02,n
계층,n
계획01,n
고개01,n
고개02,n
고객04,n
고교04,n
고구마,n
고궁01,n
고급02,n
고기01,n
고등학교,n
고등학생,n
고모01,n
고모부,n
고무신,n
고민,n
고생,n
고속02,n
고속도로,n
고속버스,n
고양이,n
고장01,n
고장11,n
고전02,n
고집02,n
고추01,n
고추장,n
고춧가루,n
고통,n
고함01,n
고향02,n
곡02,n
곡식,n
골14,n
골목01,n
골목길,n
골짜기01,n
골치01,n
골프,n
골프장,n
곰03,n
곳01,n
곳곳,n
공01,n
공간05,n
공개02,n
공격02,n
공공02,n
공군02,n
공급02,n
공기06,n
공기07,n
공동02,n
공무원,n
공부01,n
공사02,n
공식01,n
공식적,n
공업01,n
공연02,n
공연장,n
공원03,n
공장02,n
공주01,n
공중03,n
공중전화,n
공짜,n
공책01,n
공통,n
공통적,n
공통점,n
공포08,n
공항02,n
공항버스,n
공해01,n
공휴일,n
과04,n
과10,n
과거02,n
과거03,n
과목02,n
과외,n
과일01,n
과자02,n
과장07,n
과정03,n
과정04,n
과제04,n
과학,n
과학자,n
과학적,n
관객,n
관계05,n
관계자,n
관광02,n
관광객,n
관광버스,n
관광지,n
관념02,n
관람,n
관람객,n
관련,n
관리01,n
관리04,n
관습,n
관심01,n
관심사,n
관점02,n
관찰01,n
광경,n
광고02,n
광장02,n
괴로움,n
교과서,n
교내01,n
교대01,n
교류01,n
교문01,n
교복01,n
교사09,n
교수06,n
교실,n
교양02,n
교외01,n
교육,n
교육비,n
교육자,n
교장03,n
교재01,n
교직04,n
교체01,n
교통01,n
교통사고,n
교포02,n
교환01,n
교회02,n
교훈02,n
구15,n
구경01,n
구두01,n
구름01,n
구멍,n
구별02,n
구분06,n
구석01,n
구석구석,n
구성07,n
구속02,n
구역04,n
구월02,n
구입03,n
구조08,n
구청02,n
구체적,n
국01,n
국가01,n
국가적,n
국기07,n
국내02,n
국내선,n
국내외,n
국립,n
국물,n
국민,n
국민적,n
국사03,n
국산,n
국수01,n
국어01,n
국왕,n
국적02,n
국제02,n
국제선,n
국제적,n
국제화,n
국회,n
국회의원,n
군05,n
군06,n
군대03,n
군사01,n
군사04,n
군인,n
궁극적,n
권리,n
권위,n
권투01,n
귀01,n
귀가03,n
귀국02,n
귀신01,n
귓속,n
규모,n
규정04,n
규칙02,n
규칙적,n
균형,n
귤,n
그간,n
그날,n
그늘,n
그다음,n
그동안,n
그때,n
그래픽,n
그룹01,n
그릇01,n
그리움,n
그림01,n
그림자,n
그사이,n
그저께,n
그전,n
그중,n
그해,n
극05,n
극복01,n
극작가,n
극장,n
근거,n
근교,n
근래,n
근로02,n
근로자,n
근무,n
근본,n
근본적,n
근원,n
근육,n
근처,n
글,n
글쓰기,n
글씨,n
글자,n
금02,n
금06,n
금고02,n
금년,n
금메달,n
금액02,n
금연01,n
금요일,n
금지04,n
급04,n
긍정적,n
기13,n
기23,n
기간07,n
기계07,n
기관11,n
기구14,n
기구15,n
기기13,n
기념02,n
기념일,n
기념품,n
기능01,n
기능03,n
기대03,n
